id,title,year
0,Kate & Leopold,2001
1,The Other Side of the Wind,2018
2,November 1828,2001
3,Abhimanyu,1991
4,El heroob,1991
5,Crime and Punishment,2002
6,Vita da cane,1992
7,Kadhalan,1994
8,Afganskiy izlom,1991
9,Le brasier,1991
10,Die Zimbern,1991
11,Da Jue Zhan II: Huai Hai Zhan Yi,1991
12,Da Jue Zhan III: Ping Jin Zhan Yi,1992
13,Disha,1992
14,Erfolg,1991
15,Flight of the Intruder,1991
16,A Idade Maior,1991
17,Jen o rodinných zálezitostech,1991
18,Palama Yata,1991
19,Panny i wdowy,1991
20,Perumthachan,1992
21,Poslední motýl,1991
22,La setta,1991
23,Sutoroberi rodo,1991
24,100 Days,1991
25,A unsprezecea porunca,1991
26,Agantuk,1991
27,Agnes Cecilia - En sällsam historia,1991
28,Ajooba,1991
29,Akayla,1991
30,L'amant,1992
31,Les amants du Pont-Neuf,1991
32,Amor e Dedinhos de Pé,1992
33,Der andere Blick,1991
34,Arthur Rimbaud - Une biographie,1991
35,At Play in the Fields of the Lord,1991
36,Au! Ograblenie poezda,1991
37,Aus heiterem Himmel,1991
38,L'avvoltoio può attendere,1991
39,Backdraft,1991
40,Barton Fink,1991
41,La Belle Noiseuse,1991
42,Divertimento,1992
43,Beta,1992
44,Bis ans Ende der Welt,1991
45,Bai Ho,1991
46,Boyz n the Hood,1991
47,Bugsy,1991
48,El bulto,1992
49,Cabeza de Vaca,1991
50,The Cabinet of Dr. Ramirez,1991
51,Cape Fear,1991
52,City Slickers,1991
53,City of Hope,1991
54,The Commitments,1991
55,Coolie No. 1,1995
56,Crooked Hearts,1991
57,Dà hóng denglong gaogao guà,1991
58,Dai yûkai,1991
59,Thalapathi,1991
60,Danzón,1991
61,The Dark Wind,1991
62,Deadly Currents,1991
63,Defending Your Life,1991
64,Dil Aashna Hai (...The Heart Knows),1992
65,Dil Hai Ki Manta Nahin,1991
66,A Divina Comédia,1991
67,The Doctor,1991
68,Dom pod zvyozdnym nebom,1991
69,La domenica specialmente,1991
70,The Doors,1991
71,Dozoku no ranjo,1991
72,Dream On,1991
73,Drengene fra Sankt Petri,1991
74,Dou baa,1991
75,Do haap II: Seung Hoi taam do sing,1991
76,Dying Young,1991
77,Eline Vere,1991
78,Les enfants du vent,1991
79,Les équilibristes,1991
80,Europa,1991
81,Face Value,1991
82,First Love Letter,1991
83,The Fisher King,1991
84,The Five Heartbeats,1991
85,For the Boys,1991
86,Frankie and Johnny,1991
87,Fried Green Tomatoes,1991
88,La Frontera,1991
89,Futari,1991
90,Gangstery v okeane,1991
91,Geniy,1991
92,Gizli Yüz,1991
93,Grand Canyon,1991
94,Gu ling jie shao nian sha ren shi jian,1991
95,Haque,1991
96,The Hard Way,1991
97,Hear My Song,1991
98,Hihintayin kita sa langit,1991
